,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,approved
102,MS,M,17,U,T,mother,1,3,0,no,yes,5,0,15,14,16,0,1
103,MS,F,17,R,T,mother,1,1,0,no,yes,5,1,13,14,14,1,1
104,MS,M,16,U,T,mother,4,3,0,no,no,3,0,10,9,10,1,1
105,MS,F,17,R,T,mother,1,1,0,yes,yes,5,5,9,9,9,0,0
106,MS,F,16,U,T,father,2,1,0,no,no,5,1,11,11,11,1,1
107,MS,M,17,U,T,mother,1,1,0,no,yes,3,8,7,10,9,0,0
108,MS,M,17,U,T,mother,3,2,0,no,yes,1,0,10,10,10,1,1
109,MS,M,16,U,T,mother,2,2,0,no,yes,5,2,9,7,8,0,0
110,MS,F,16,U,T,mother,1,2,0,no,yes,3,0,14,15,16,0,1
111,MS,M,16,U,T,father,1,1,0,no,yes,5,0,11,12,12,1,1
112,MS,M,15,R,T,mother,3,2,0,no,no,5,11,9,11,10,1,1
113,MS,M,15,U,A,mother,3,4,0,no,no,5,8,13,14,14,1,1
114,MS,M,15,U,A,mother,1,1,0,no,yes,5,11,12,13,12,1,1
115,MS,F,16,R,T,mother,1,3,0,no,no,5,2,11,11,11,1,1
116,MS,F,16,U,T,mother,2,2,0,no,yes,1,8,9,10,10,1,1
117,MS,F,17,U,T,mother,2,1,0,no,no,1,5,9,11,11,1,1
118,MS,F,17,R,T,mother,2,2,0,yes,no,5,0,11,9,11,1,1
119,MS,F,16,U,T,mother,2,3,0,no,yes,5,1,10,11,12,1,1
120,MS,M,17,R,T,father,3,1,3,no,yes,5,2,9,9,8,0,0
121,MS,M,17,R,T,father,2,1,0,no,no,5,2,12,11,12,1,1
122,MS,M,17,U,T,mother,1,2,1,no,yes,5,8,8,9,8,0,0
123,MS,F,17,U,T,father,1,2,0,no,yes,5,0,13,15,16,0,1
124,MS,M,16,R,T,father,1,1,0,no,yes,2,0,10,11,11,1,1
125,MS,F,17,U,A,mother,1,2,0,no,yes,3,2,11,10,11,1,1
126,MS,F,17,R,T,mother,2,2,0,no,yes,5,0,17,18,18,0,1
127,MS,M,16,U,A,father,2,2,0,no,yes,5,0,12,13,13,1,1
128,MS,M,17,U,T,father,2,2,0,yes,yes,1,0,13,14,13,1,1
129,MS,M,19,U,T,mother,1,2,2,no,yes,4,2,9,9,10,1,1
130,MS,M,17,U,A,mother,1,1,0,no,no,5,4,11,11,12,1,1
131,MS,F,17,R,T,father,2,1,0,no,yes,4,3,10,11,10,1,1
132,MS,F,16,R,T,father,1,3,0,no,yes,3,5,13,14,13,1,1
133,MS,M,16,R,T,mother,1,1,0,no,no,5,4,9,10,11,1,1
134,MS,F,17,R,T,mother,2,2,3,no,yes,5,2,7,9,10,1,1
135,MS,M,17,R,T,mother,2,1,0,no,no,5,0,8,13,10,1,1
136,MS,M,18,R,T,other,3,1,1,no,no,4,0,12,12,13,1,1
137,MS,M,17,R,T,mother,2,1,0,no,yes,2,0,10,9,10,1,1
138,MS,M,18,U,T,mother,2,2,0,no,no,5,6,10,9,10,1,1
139,MS,F,16,R,T,father,1,2,0,no,no,1,0,11,13,12,1,1
140,MS,M,17,U,T,mother,1,1,1,no,no,5,0,7,0,0,0,0
141,MS,M,16,R,T,father,2,1,0,no,yes,5,2,11,9,10,1,1
142,MS,M,16,R,T,mother,2,1,0,no,yes,5,0,10,10,9,0,0
143,MS,M,18,R,T,other,2,1,1,no,yes,5,2,9,7,9,0,0
144,MS,M,18,R,T,mother,1,1,1,no,yes,5,0,4,0,0,0,0
145,MS,M,19,U,T,mother,2,1,3,no,no,3,4,6,11,9,0,0
146,MS,M,18,U,T,mother,1,2,2,no,yes,3,9,4,8,8,0,0
147,MS,M,16,R,T,mother,2,1,0,no,yes,4,6,7,8,8,0,0
148,MS,M,19,U,T,other,2,1,3,no,yes,5,4,8,9,9,0,0
149,MS,F,16,U,A,mother,2,2,2,no,no,1,8,5,5,7,0,0
150,MS,F,17,U,T,mother,1,1,0,no,no,5,9,7,9,10,1,1
151,MS,M,20,R,T,other,2,1,1,no,yes,4,12,8,11,10,1,1
152,MS,F,18,R,A,mother,1,1,0,no,yes,2,8,10,11,10,1,1
153,MS,M,18,R,T,mother,2,1,0,no,yes,5,8,9,10,11,1,1
154,MS,M,19,R,T,other,3,2,1,no,yes,2,8,10,9,11,1,1
155,MS,M,17,U,T,mother,2,2,1,no,yes,3,4,8,9,10,1,1
156,MS,M,18,U,T,mother,1,1,0,no,yes,3,0,9,10,9,0,0
157,MS,M,19,R,T,other,3,1,1,no,yes,5,4,8,9,10,1,1
158,MS,F,18,U,A,mother,2,2,2,no,no,5,2,6,8,8,0,0
159,MS,F,19,U,A,mother,1,1,0,no,no,5,0,6,8,7,0,0
160,MS,F,18,R,T,mother,2,1,1,no,yes,3,0,8,6,0,0,0
161,MS,F,17,R,T,mother,2,1,0,no,yes,5,0,10,11,11,1,1
162,MS,F,17,R,A,other,2,3,0,yes,no,3,5,8,7,8,0,0
163,MS,F,17,U,T,mother,1,2,0,no,yes,5,0,8,8,0,0,0
164,MS,F,18,R,T,mother,1,2,1,no,yes,4,3,7,6,8,0,0
165,MS,F,17,U,T,mother,1,1,0,no,no,5,0,8,10,9,0,0
166,MS,F,17,U,T,father,1,1,0,no,yes,3,0,7,10,10,1,1
167,MS,F,18,U,T,mother,3,2,2,no,no,5,3,7,8,7,0,0
168,MS,F,18,U,T,father,2,2,0,no,yes,1,2,12,13,14,1,1
169,MS,F,17,U,T,mother,2,1,0,no,yes,4,0,11,12,13,1,1
170,MS,F,18,U,A,mother,2,2,0,no,yes,4,0,12,13,14,1,1
171,MS,F,18,U,T,mother,2,2,0,no,yes,1,0,18,18,18,0,1
172,MS,M,18,U,T,mother,1,1,0,no,yes,5,3,17,17,17,0,1
173,MS,F,17,U,T,mother,2,2,0,no,yes,4,0,17,18,18,0,1
174,MS,F,18,R,T,mother,3,2,1,no,no,4,0,9,0,0,0,0
175,MS,M,18,U,T,mother,2,1,0,no,no,1,8,10,11,11,1,1
176,MS,M,18,R,T,mother,3,1,0,yes,yes,1,5,12,13,14,1,1
177,MS,M,17,R,T,father,3,1,0,no,no,4,4,12,13,14,1,1
178,MS,F,18,U,T,mother,2,2,0,no,yes,2,4,8,8,10,1,1
179,MS,F,18,U,T,father,2,3,0,no,yes,3,0,11,12,13,1,1
180,MS,F,18,R,A,mother,1,2,0,no,yes,5,0,5,0,0,0,0
181,MS,F,18,U,T,mother,3,2,1,no,no,2,2,9,10,10,1,1
182,MS,F,19,U,T,father,2,1,1,no,no,2,0,5,0,0,0,0
183,MS,F,17,U,T,father,2,4,0,no,yes,5,0,18,18,18,0,1
184,MS,F,17,R,A,mother,2,2,0,no,yes,2,5,11,11,12,1,1
185,MS,F,18,U,A,mother,1,2,0,no,no,3,2,8,10,11,1,1
186,MS,F,18,U,T,father,2,2,0,no,no,4,0,11,11,12,1,1
187,MS,F,19,R,A,other,2,2,3,no,no,1,0,8,0,0,0,0
188,MS,F,18,R,T,mother,2,3,0,no,yes,4,5,14,14,15,1,1
189,MS,M,17,R,T,mother,2,2,1,yes,yes,2,4,10,11,11,1,1
190,MS,F,18,U,T,father,1,2,0,no,no,5,0,10,10,10,1,1
191,MS,F,17,R,T,father,2,2,0,yes,yes,5,2,12,12,12,1,1
192,MS,F,17,U,A,mother,2,2,0,no,no,5,0,15,14,15,1,1
193,MS,M,18,U,T,father,2,1,0,no,yes,3,2,14,13,14,1,1
194,MS,F,18,U,T,father,2,3,0,no,yes,4,0,19,17,18,0,1
195,MS,F,18,R,A,mother,3,2,0,no,no,5,0,16,15,15,1,1
196,MS,F,18,U,T,mother,2,2,0,no,yes,3,6,13,12,13,1,1
197,MS,F,17,U,T,mother,1,2,0,no,yes,1,4,15,14,15,1,1
198,MS,F,17,R,T,father,2,2,0,no,no,3,0,13,13,13,1,1
199,MS,M,18,R,T,mother,2,2,0,yes,no,3,0,8,10,9,0,0
200,MS,M,18,U,T,mother,2,3,0,no,yes,5,0,15,16,16,0,1
201,MS,F,17,R,T,mother,3,1,1,no,yes,1,0,8,8,9,0,0
202,MS,F,18,U,T,father,2,1,0,no,yes,4,0,10,10,10,1,1
203,MS,F,18,R,T,father,3,2,0,no,yes,5,0,7,5,0,0,0
204,MS,M,18,R,T,father,3,1,0,no,yes,3,3,9,10,10,1,1
205,MS,F,17,U,T,mother,1,3,0,no,no,3,8,10,11,12,1,1
206,MS,F,17,R,T,mother,1,1,0,no,yes,1,4,7,8,9,0,0
207,MS,F,18,R,T,mother,2,3,0,no,yes,1,0,15,17,17,0,1
208,MS,F,18,R,T,mother,4,3,0,no,yes,4,4,10,11,12,1,1
209,MS,F,19,R,T,other,2,2,1,no,yes,3,4,7,8,9,0,0
210,MS,F,18,R,T,mother,1,2,0,no,yes,2,1,13,14,14,1,1
211,MS,F,18,U,T,mother,1,2,0,no,yes,1,1,16,16,16,0,1
212,MS,F,17,R,T,mother,1,2,0,no,yes,1,10,8,9,9,0,0
213,MS,M,18,U,T,father,1,2,0,no,yes,2,4,17,18,19,0,1
214,MS,M,18,R,T,mother,2,1,0,no,yes,5,0,7,7,0,0,0
215,MS,M,17,U,T,father,2,2,0,no,yes,3,4,14,15,16,0,1
216,MS,M,19,R,T,mother,2,1,1,no,no,5,0,5,8,0,0,0
217,MS,M,18,R,T,father,2,1,1,yes,no,3,0,7,7,0,0,0
218,MS,F,18,R,T,mother,2,3,0,no,no,4,0,14,17,15,1,1
219,MS,F,17,U,T,mother,2,2,0,no,yes,1,0,6,9,11,1,1
220,MS,F,18,R,T,mother,3,1,0,no,yes,5,4,7,9,10,1,1
221,MS,F,19,R,T,mother,1,3,1,no,yes,5,4,10,11,10,1,1
222,MS,F,18,U,T,mother,1,2,0,no,yes,1,4,15,15,16,0,1
223,MS,F,18,U,T,mother,2,2,0,no,no,5,6,11,12,9,0,0
224,MS,M,17,U,T,mother,2,1,0,no,yes,2,6,10,10,10,1,1
225,MS,M,18,R,T,mother,3,1,0,no,yes,5,4,10,11,11,1,1
